event_id,particle_index,pdg,charge,pt,eta,phi,mass,energy,is_final
9,4,2212,1,0.485324,-3.40619,2.5982,0.93827,7.38417,1
9,12,321,1,0.458034,1.04688,-1.60026,0.49368,0.883585,1
9,13,-211,-1,0.291695,1.50356,2.72454,0.13957,0.702404,1
9,15,211,1,0.0457617,4.07208,-1.12296,0.13957,1.35024,1
9,16,211,1,0.0472595,-2.73882,-0.352965,0.13957,0.392689,1
9,17,-211,-1,0.158734,-1.19708,0.301831,0.13957,0.318879,1
9,19,22,0,0.325012,0.0497674,0.349971,0,0.325414,1
9,20,22,0,0.112101,-0.295231,-0.276554,0,0.117022,1
9,21,211,1,0.124234,-0.240119,1.62426,0.13957,0.189264,1
9,22,-211,-1,0.230144,-1.73163,1.08467,0.13957,0.684878,1
9,25,22,0,0.0780955,2.83793,1.31264,0,0.669236,1
9,26,22,0,0.338503,-0.819851,-1.93103,0,0.458783,1
9,27,22,0,0.134351,-1.39656,-2.17391,0,0.288098,1
9,28,22,0,0.0420547,0.0974981,-0.919106,0,0.0422547,1
9,29,22,0,0.141997,0.036894,-3.04105,0,0.142094,1
9,30,2112,0,0.285524,3.62282,0.629822,0.93957,5.43112,1
9,32,22,0,0.116991,2.1956,-1.30835,0,0.532116,1
9,33,22,0,0.0354074,1.55725,1.68094,0,0.0877478,1
10,18,211,1,0.639712,0.0599636,1.52641,0.13957,0.655885,1
10,27,-211,-1,0.266484,0.843593,1.27294,0.13957,0.392703,1
10,29,2112,0,0.253472,-1.57528,-1.83875,0.93957,1.13606,1
10,31,2212,1,0.560352,2.80394,-2.11682,0.93827,4.73641,1
10,32,211,1,0.346226,2.51064,0.747891,0.13957,2.1501,1
10,33,22,0,0.297731,-2.96213,1.3393,0,2.88663,1
10,34,22,0,0.106429,-2.58451,2.00795,0,0.709471,1
10,35,211,1,0.0790599,-2.23797,-2.11743,0.13957,0.399927,1
10,36,-211,-1,0.12227,-2.86398,0.0401963,0.13957,1.08427,1
10,38,22,0,0.617457,0.0384568,-2.43004,0,0.617913,1
10,39,22,0,0.187943,-0.937408,2.50619,0,0.276746,1
10,43,22,0,0.277411,-0.126941,-1.02211,0,0.279649,1
